TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
137019,Oaaxosaurus,piger,
139915,Obdurodon,insignis,"Woodburne & Tedford, 1975"
137387,Ocalientinus,floridanus,(Leidy)
145183,Odontaspis,bronni,"(Agassiz, 1843)"
141087,Odontaspis,cuspidata,
136032,Odonterpeton,triangulare,Moodie
145213,Oeonoscopus,cyprinoides,(Wagner)
145214,Oeonoscopus,desori,(ThiolliFre)
140167,Oeselaspis,pustulata,Patten
526199,Oestocephalus,serrula,"Cope, 1871"
138683,Ogmophis,oregonensis,Cope
138910,Ogmophis,pauperrimus,Vanzolini
138587,Ogmophis,pauperrimus,"Vanzolini, 1952"
139179,Oldfieldthomaxia,,
139177,Oldfieldtomaxia,,
144608,Oligobunis,floridanus,
137018,Oligodontosaurus,wyomingensis,
136729,Oligokyphus,,
137796,Oligopithecus,savagei,"Simons, 1962"
141136,Oligopleurus,,
142513,Omomys,minutes,
144672,Omomys,,
145682,Omoys,carteri,
141236,Onychites,uncus,
139808,Onychodus,sigmoides,Newberry
139815,Onychodus,,Newb.
135937,Ophicodon,retroversus,
144241,Ophiodeirus,,
137632,Ophiodirus,,
136292,Ophiodrevus,,
142452,Ophiopsis,attenuata,Wagner
136298,Ophydeirus,,
136299,Ophyodeirus,,
137978,Opisthias,rarus,
136974,Opisthis,varius,
141109,Oracanthus,vetastus,
135657,Oreopithecus,bambolii,Gervais
141010,Orepanaspis,gemundenensis,
138919,Ornithocheirus,,
147188,Ornithoidipus,pergracilis,C.H. Sternberg
145343,Ornithosuchus,longidens,"Newton, 1894"
136094,Orozomys,pliocaenicus,Hibbard
144112,Orthacanthus,bohemicus,Fritsch
141377,Orthacodus,,
138994,Orthocosta,microscopica,
141755,Orthodactylus,floriferus,
144589,Osteoborus,direptor,(Matthew)
137385,Osteoborus,dudleyi,White
140171,Osteostrae,,
454245,Othnielia,rex,
141501,Othnielmarshia,pristina,
520573,Otodus,latus,"Agassiz, 1843"
526705,Otodus,serratus,"Agassiz, 1843"
141472,Otodus,,
140657,Otouphepus,magnificus,"Cushman, 1904"
140644,Otozoum,,
138539,Ourayia,uintensis,"Osborn, 1895"
136866,Oxacron,minimus,Filhol
147479,Oxyaenodon,dysclenus,
144641,Oxyalaenus,,
143248,Oxyclaenus,cuspidatus,
143247,Oxyclaenus,simplex,"(Cope, 1884)"
138215,Oxydactylas,,
137898,Oxydactylus,,
145495,Pachyaena,gracilis,
143694,Pachyaena,ossifraga,Boofrons (?)
139753,Pachyaena,,
136811,Pachycynodon,dubius,Filhol
136812,Pachycynodon,tenuis,Chardin
136748,Pachygenelus,monus,Watson
136976,Pachygenelus,monus,
145958,Pachynolophus,duvali,
139078,Pachynolophus,duvalii,"(Pomel, 1847)"
137324,Pachyogenelus,monus,
139163,Pachyrukhos,moyausi,
147264,Pachyrukhos,naevius,
139164,Pachyrukhos,,
145646,Pachythrissops,popterus,
138400,Pachytragus,crassicornis,
142503,Pachytrogus,crassicornis,
139187,Paedotherium,,
145060,Paenemarmota,barbouri,
140003,Palacostylops,,
137993,Palaeagama,vielhaueri,
137066,Palaeanodon,,
139926,Palaechton,alticuspis,
449971,Palaecthon,,
139857,Palaeobalistium,,
140179,Palaeobalistum,goedeli,Heckel
146999,Palaeobalistum,orbiculatum,Blainville
144086,Palaeobates,angustissimus,(Ag.)
136277,Palaeobatrachus,dilurianus,Goldfuss
136278,Palaeobatrachus,goldfussi,Tschudi
137842,Palaeocastor,,
139798,Palaeocavia,,
275330,Palaeochenoides,mioceanus,Shufeldt
146524,Palaeochoerus,choeroides,
138484,Palaeochoerus,meissneri,
147231,Palaeogadus,,
141515,Palaeolabrus,montanensis,
136117,Palaeoloxodon,namadicus,
139206,Palaeomastodon,,"Andrews, 1906"
138741,Palaeomerys,scheucheri,H. v. Meyer
144054,Palaeomylus,predator,"Eastman, 1898"
139386,Palaeoparadoxia,tabatai,
145128,Palaeophichthys,parvulus,Eastman
135751,Palaeophis,typhaeus,Owen
138396,Palaeoreas,lindermayeri,
138854,Palaeoryctes,puercensis,Matthew 1913
138797,Palaeoryctes,,
424310,Palaeoryctidae,,
140539,Palaeorynchus,glarisianus,(Blainville)
136783,Palaeoryx,pallasi,(Wegner)
136793,Palaeoryx,stntzell,Schlosser
140653,Palaeosauropus,,
145100,Palaeosimia,sivalensis,
139126,Palaeosimia,,
139269,Palaeospondylus,gunni,Traq.
138323,Palaeotapirus,helveticus,
136435,Palaeotapirus,helvetius,Meyer
138669,Palaeotaricha,oligocenica,van Frank
142504,Palaeotragus,boissieri,
138399,Palaeotragus,borssieri,
136251,Palatobaena,,
138834,Palenochtha,minor,"Simpson, 1935"
139402,Palenochtha,,
137318,Paleochelys,costule,
137317,Paleochelys,haslachensis,
137319,Paleochelys,,
141351,Paleoniscus,freieslebeni,Ag.
136815,Paleoprionodon,lemandini,Filhol
146921,Paleorhynchus,glarissianus,
424314,Paleoryctes,,
145064,Paleosinopa,lutreola,
138525,Paleosinopa,veterrima,
140012,Paleosinopa,,
139812,Paleospondylus,gunni,Traquair
141497,Paleostylops,iturus,
143186,Paleosyops,,
138440,Paleotherium,curtum,
143185,Paleotherium,,
136243,Paleothyris,acadiana,
138222,Paloplotherium,,
137612,Palorchestes,,
137843,Palustrimus,,
143525,Palycidon,,
144260,Panochthus,tuberauloides,Owen
144206,Pantolambda,bathmodon,
145506,Pantolambda,,
141804,Pantolestes,,
136038,Pantylus,,
138071,Pappaceras,confluens,
140623,Parabaropus,coloradensis,(Lull)
137118,Parablastomeryx,floridanus,"White, 1940"
137394,Parablastomeryx,floridanus,White
137423,Parablastomeryx,,
136781,Paracaviculus,gigas,Matthew & Cook
136065,Paracyclotosaurus,davidi,
136335,Paradaphaenus,tropicalis,"White, 1942"
136330,Paradaphoenus,nobilis,(Simpson)
139978,Paradidelphys,,
146065,Paradjidaumo,minor,
135912,Paradjidaumo,,
145047,Paradoxodonta,ruetimeyerana,
144215,Paraectypodus,simpsoni,
454257,Parahippis,leonensis,Sel.
138521,Parahyus,vagus,
141126,Paralepidotes,,
140500,Paralepidotus,ornatus,(Agassiz)
142466,Paramiatus,gurleyi,
138839,Paramomys,maturus,
141610,Paramphibius,didactylus,Willard
137781,Paranthropus,robustus,Broom
147509,Paranthropus,robustus,Broom
139435,Parapapio,jonesi,
138829,Parapapio,,
136915,Paraphiomys,pigotti,Lavosat 1973
145634,Parapithecus,grangeri,
139389,Pararyctes,pattersoni,(Van Valen)
138929,Parasaurolophus,,
143558,Parasemionotus,labordei,(Priem)
137081,Paratetonius,steini,Seton
137124,Paratylopus,grandis,White
139938,Parectypodus,,
138726,Parelephos,floridanus,Leidy
138805,Pareumys,guensburgi,
